filename,width,height,longest_side
austin16_obj0001.png,9,19,19
austin16_obj0002.png,471,347,471
austin16_obj0003.png,466,82,466
austin16_obj0004.png,335,389,389
austin16_obj0005.png,23,7,23
austin16_obj0006.png,30,38,38
austin16_obj0007.png,105,70,105
austin16_obj0008.png,150,149,150
austin16_obj0009.png,185,122,185
austin16_obj0010.png,203,49,203
austin16_obj0011.png,450,193,450
austin16_obj0012.png,461,152,461
austin16_obj0013.png,133,43,133
austin16_obj0014.png,478,454,478
austin16_obj0015.png,514,572,572
austin16_obj0016.png,143,89,143
austin16_obj0017.png,102,141,141
austin16_obj0018.png,41,53,53
austin16_obj0019.png,102,125,125
austin16_obj0020.png,63,66,66
austin16_obj0021.png,111,107,111
austin16_obj0022.png,285,226,285
austin16_obj0023.png,105,195,195
austin16_obj0024.png,27,27,27
austin16_obj0025.png,95,81,95
austin16_obj0026.png,136,94,136
austin16_obj0027.png,282,141,282
austin16_obj0028.png,185,119,185
austin16_obj0029.png,340,651,651
austin16_obj0030.png,96,154,154
austin16_obj0031.png,136,108,136
austin16_obj0032.png,430,490,490
austin16_obj0033.png,148,153,153
austin16_obj0034.png,113,114,114
austin16_obj0035.png,113,72,113
austin16_obj0036.png,70,78,78
austin16_obj0037.png,63,57,63
austin16_obj0038.png,99,124,124
austin16_obj0039.png,436,262,436
austin16_obj0040.png,329,251,329
austin16_obj0041.png,604,384,604
austin16_obj0042.png,107,82,107
austin16_obj0043.png,177,202,202
austin16_obj0044.png,108,114,114
austin16_obj0045.png,448,309,448
austin16_obj0046.png,72,102,102
austin16_obj0047.png,22,23,23
austin16_obj0048.png,54,111,111
austin16_obj0049.png,358,311,358
austin16_obj0050.png,126,120,126
austin16_obj0051.png,144,210,210
austin16_obj0052.png,129,171,171
austin16_obj0053.png,186,195,195
austin16_obj0054.png,83,48,83
austin16_obj0055.png,299,479,479
austin16_obj0056.png,65,70,70
austin16_obj0057.png,52,60,60
austin16_obj0058.png,664,593,664
austin16_obj0059.png,72,120,120
austin16_obj0060.png,120,195,195
austin16_obj0061.png,117,138,138
austin16_obj0062.png,454,315,454
austin16_obj0063.png,363,483,483
austin16_obj0064.png,34,33,34
austin16_obj0065.png,130,201,201
austin16_obj0066.png,30,28,30
austin16_obj0067.png,279,161,279
austin16_obj0068.png,113,94,113
austin16_obj0069.png,429,261,429
austin16_obj0070.png,78,72,78
austin16_obj0071.png,603,700,700
austin16_obj0072.png,172,149,172
austin16_obj0073.png,502,489,502
austin16_obj0074.png,76,57,76
austin16_obj0075.png,107,101,107
austin16_obj0076.png,24,21,24
austin16_obj0077.png,123,149,149
austin16_obj0078.png,88,88,88
austin16_obj0079.png,141,108,141
austin16_obj0080.png,161,209,209
austin16_obj0081.png,173,131,173
austin16_obj0082.png,105,174,174
austin16_obj0083.png,262,255,262
austin16_obj0084.png,15,12,15
austin16_obj0085.png,2,5,5
austin16_obj0086.png,132,131,132
austin16_obj0087.png,85,336,336
austin16_obj0088.png,124,124,124
austin16_obj0089.png,195,132,195
austin16_obj0090.png,303,215,303
austin16_obj0091.png,42,51,51
austin16_obj0092.png,405,237,405
austin16_obj0093.png,201,192,201
austin16_obj0094.png,60,99,99
austin16_obj0095.png,263,251,263
austin16_obj0096.png,165,369,369
austin16_obj0097.png,18,22,22
austin16_obj0098.png,21,29,29
austin16_obj0099.png,155,232,232
austin16_obj0100.png,503,447,503
austin16_obj0101.png,388,340,388
austin16_obj0102.png,142,215,215
austin16_obj0103.png,472,492,492
austin16_obj0104.png,501,537,537
austin16_obj0105.png,256,219,256
austin16_obj0106.png,256,132,256
austin16_obj0107.png,28,23,28
austin16_obj0108.png,455,431,455
austin16_obj0109.png,28,23,28
austin16_obj0110.png,1059,671,1059
austin16_obj0111.png,143,196,196
austin16_obj0112.png,216,135,216
austin16_obj0113.png,112,167,167
austin16_obj0114.png,190,105,190
austin16_obj0115.png,47,47,47
austin16_obj0116.png,197,402,402
austin16_obj0117.png,155,215,215
austin16_obj0118.png,28,21,28
austin16_obj0119.png,90,71,90
austin16_obj0120.png,94,177,177
austin16_obj0121.png,1038,514,1038
austin16_obj0122.png,660,598,660
austin16_obj0123.png,246,227,246
austin16_obj0124.png,341,335,341
austin16_obj0125.png,346,486,486
austin16_obj0126.png,154,219,219
austin16_obj0127.png,42,33,42
austin16_obj0128.png,30,41,41
austin16_obj0129.png,351,480,480
austin16_obj0130.png,333,244,333
austin16_obj0131.png,466,316,466
austin16_obj0132.png,17,17,17
austin16_obj0133.png,331,477,477
austin16_obj0134.png,23,23,23
austin16_obj0135.png,185,202,202
austin16_obj0136.png,118,455,455
austin16_obj0137.png,390,424,424
austin16_obj0138.png,198,231,231
austin16_obj0139.png,508,520,520
austin16_obj0140.png,101,83,101
austin16_obj0141.png,306,305,306
austin16_obj0142.png,106,142,142
austin16_obj0143.png,474,312,474
austin16_obj0144.png,315,346,346
austin16_obj0145.png,154,70,154
austin16_obj0146.png,17,15,17
austin16_obj0147.png,72,71,72
austin16_obj0148.png,468,567,567
austin16_obj0149.png,513,486,513
austin16_obj0150.png,28,30,30
austin16_obj0151.png,24,21,24
austin16_obj0152.png,357,258,357
austin16_obj0153.png,502,393,502
austin16_obj0154.png,468,312,468
austin16_obj0155.png,42,69,69
austin16_obj0156.png,341,250,341
austin16_obj0157.png,29,29,29
austin16_obj0158.png,46,59,59
austin16_obj0159.png,22,21,22
austin16_obj0160.png,88,65,88
austin16_obj0161.png,66,42,66
austin16_obj0162.png,275,216,275
austin16_obj0163.png,552,528,552
austin16_obj0164.png,256,231,256
austin16_obj0165.png,274,345,345
austin16_obj0166.png,190,225,225
austin16_obj0167.png,583,561,583
austin16_obj0168.png,521,483,521
austin16_obj0169.png,41,39,41
austin16_obj0170.png,531,528,531
austin16_obj0171.png,19,81,81
austin16_obj0172.png,167,160,167
austin16_obj0173.png,479,531,531
austin16_obj0174.png,37,41,41
austin16_obj0175.png,54,64,64
austin16_obj0176.png,234,129,234
austin16_obj0177.png,88,214,214
austin16_obj0178.png,318,341,341
austin16_obj0179.png,77,119,119
austin16_obj0180.png,84,77,84
austin16_obj0181.png,443,399,443
austin16_obj0182.png,183,144,183
austin16_obj0183.png,310,329,329
austin16_obj0184.png,521,525,525
austin16_obj0185.png,173,256,256
austin16_obj0186.png,292,453,453
austin16_obj0187.png,341,443,443
austin16_obj0188.png,227,222,227
austin16_obj0189.png,110,261,261
austin16_obj0190.png,105,150,150
austin16_obj0191.png,293,405,405
austin16_obj0192.png,313,291,313
austin16_obj0193.png,300,681,681
austin16_obj0194.png,42,46,46
austin16_obj0195.png,30,29,30
austin16_obj0196.png,132,220,220
austin16_obj0197.png,48,57,57
austin16_obj0198.png,363,297,363
austin16_obj0199.png,51,59,59
austin16_obj0200.png,557,393,557
austin16_obj0201.png,185,160,185
austin16_obj0202.png,244,406,406
austin16_obj0203.png,113,95,113
austin16_obj0204.png,64,65,65
austin16_obj0205.png,178,137,178
austin16_obj0206.png,97,99,99
austin16_obj0207.png,322,257,322
austin16_obj0208.png,40,36,40
austin16_obj0209.png,57,58,58
austin16_obj0210.png,22,28,28
austin16_obj0211.png,52,33,52
austin16_obj0212.png,1014,993,1014
austin16_obj0213.png,100,54,100
austin16_obj0214.png,275,341,341
austin16_obj0215.png,34,41,41
austin16_obj0216.png,489,465,489
austin16_obj0217.png,71,142,142
austin16_obj0218.png,17,21,21
austin16_obj0219.png,21,47,47
austin16_obj0220.png,534,545,545
austin16_obj0221.png,123,105,123
austin16_obj0222.png,36,36,36
austin16_obj0223.png,264,264,264
austin16_obj0224.png,82,42,82
austin16_obj0225.png,93,130,130
austin16_obj0226.png,23,22,23
austin16_obj0227.png,219,162,219
austin16_obj0228.png,35,33,35
austin16_obj0229.png,1380,610,1380
austin16_obj0230.png,111,117,117
austin16_obj0231.png,102,88,102
austin16_obj0232.png,256,240,256
austin16_obj0233.png,35,24,35
austin16_obj0234.png,17,17,17
austin16_obj0235.png,196,357,357
austin16_obj0236.png,413,498,498
austin16_obj0237.png,70,105,105
austin16_obj0238.png,264,191,264
austin16_obj0239.png,106,113,113
austin16_obj0240.png,76,138,138
austin16_obj0241.png,22,24,24
austin16_obj0242.png,203,222,222
austin16_obj0243.png,75,90,90
austin16_obj0244.png,41,47,47
austin16_obj0245.png,87,107,107
austin16_obj0246.png,60,93,93
austin16_obj0247.png,21,16,21
austin16_obj0248.png,130,113,130
austin16_obj0249.png,977,816,977
austin16_obj0250.png,27,29,29
austin16_obj0251.png,154,191,191
austin16_obj0252.png,90,148,148
austin16_obj0253.png,66,77,77
austin16_obj0254.png,72,99,99
austin16_obj0255.png,166,142,166
austin16_obj0256.png,99,57,99
austin16_obj0257.png,84,81,84
austin16_obj0258.png,33,40,40
austin16_obj0259.png,52,53,53
austin16_obj0260.png,29,27,29
austin16_obj0261.png,22,17,22
austin16_obj0262.png,70,78,78
austin16_obj0263.png,94,118,118
austin16_obj0264.png,384,369,384
austin16_obj0265.png,113,183,183
austin16_obj0266.png,66,94,94
austin16_obj0267.png,39,36,39
austin16_obj0268.png,63,90,90
austin16_obj0269.png,64,54,64
austin16_obj0270.png,64,75,75
austin16_obj0271.png,75,87,87
austin16_obj0272.png,99,118,118
austin16_obj0273.png,135,135,135
austin16_obj0274.png,83,108,108
austin16_obj0275.png,93,81,93
austin16_obj0276.png,76,84,84
austin16_obj0277.png,58,47,58
austin16_obj0278.png,424,292,424
austin16_obj0279.png,377,364,377
austin16_obj0280.png,76,60,76
austin16_obj0281.png,36,45,45
austin16_obj0282.png,60,78,78
austin16_obj0283.png,12,22,22
austin16_obj0284.png,52,52,52
austin16_obj0285.png,22,22,22
austin16_obj0286.png,405,365,405
austin16_obj0287.png,36,40,40
austin16_obj0288.png,46,45,46
austin16_obj0289.png,63,77,77
austin16_obj0290.png,30,35,35
austin16_obj0291.png,101,108,108
austin16_obj0292.png,69,52,69
austin16_obj0293.png,71,76,76
austin16_obj0294.png,111,83,111
austin16_obj0295.png,101,84,101
austin16_obj0296.png,64,78,78
austin16_obj0297.png,24,27,27
austin16_obj0298.png,456,312,456
austin16_obj0299.png,71,95,95
austin16_obj0300.png,27,28,28
austin16_obj0301.png,63,57,63
austin16_obj0302.png,84,113,113
austin16_obj0303.png,23,22,23
austin16_obj0304.png,45,45,45
austin16_obj0305.png,76,101,101
austin16_obj0306.png,185,196,196
austin16_obj0307.png,72,77,77
austin16_obj0308.png,36,45,45
austin16_obj0309.png,46,45,46
austin16_obj0310.png,76,95,95
austin16_obj0311.png,21,18,21
austin16_obj0312.png,75,87,87
austin16_obj0313.png,94,65,94
austin16_obj0314.png,87,102,102
austin16_obj0315.png,72,89,89
austin16_obj0316.png,88,129,129
austin16_obj0317.png,45,45,45
austin16_obj0318.png,65,88,88
austin16_obj0319.png,48,45,48
austin16_obj0320.png,180,225,225
austin16_obj0321.png,72,99,99
austin16_obj0322.png,30,33,33
austin16_obj0323.png,70,81,81
austin16_obj0324.png,81,99,99
austin16_obj0325.png,96,83,96
austin16_obj0326.png,30,34,34
austin16_obj0327.png,24,28,28
austin16_obj0328.png,71,71,71
austin16_obj0329.png,58,40,58
austin16_obj0330.png,220,173,220
austin16_obj0331.png,160,250,250
austin16_obj0332.png,117,101,117
austin16_obj0333.png,24,28,28
austin16_obj0334.png,28,34,34
austin16_obj0335.png,69,89,89
austin16_obj0336.png,82,102,102
austin16_obj0337.png,132,99,132
austin16_obj0338.png,69,93,93
austin16_obj0339.png,81,90,90
austin16_obj0340.png,186,193,193
austin16_obj0341.png,239,187,239
austin16_obj0342.png,99,124,124
austin16_obj0343.png,59,51,59
austin16_obj0344.png,77,75,77
austin16_obj0345.png,83,90,90
austin16_obj0346.png,288,172,288
austin16_obj0347.png,22,18,22
austin16_obj0348.png,34,39,39
austin16_obj0349.png,39,59,59
austin16_obj0350.png,63,52,63
austin16_obj0351.png,18,23,23
austin16_obj0352.png,354,147,354
austin16_obj0353.png,84,81,84
austin16_obj0354.png,108,125,125
austin16_obj0355.png,60,75,75
austin16_obj0356.png,78,82,82
austin16_obj0357.png,72,88,88
austin16_obj0358.png,72,48,72
austin16_obj0359.png,84,107,107
austin16_obj0360.png,21,22,22
austin16_obj0361.png,52,54,54
austin16_obj0362.png,90,76,90
austin16_obj0363.png,58,63,63
austin16_obj0364.png,114,70,114
austin16_obj0365.png,29,33,33
austin16_obj0366.png,101,58,101
austin16_obj0367.png,78,47,78
austin16_obj0368.png,87,43,87
austin16_obj0369.png,107,42,107
austin16_obj0370.png,40,34,40
austin16_obj0371.png,89,35,89
austin16_obj0372.png,23,27,27
austin16_obj0373.png,88,29,88
austin16_obj0374.png,17,15,17
austin16_obj0375.png,53,20,53
austin16_obj0376.png,30,12,30
austin16_obj0377.png,42,13,42
austin16_obj0378.png,18,7,18
austin16_obj0379.png,17,8,17
austin16_obj0380.png,11,4,11
austin16_obj0381.png,4,2,4
austin16_obj0382.png,3,2,3
austin19_obj0001.png,149,67,149
austin19_obj0002.png,83,82,83
austin19_obj0003.png,18,12,18
austin19_obj0004.png,60,18,60
austin19_obj0005.png,6,2,6
austin19_obj0006.png,111,54,111
austin19_obj0007.png,84,34,84
austin19_obj0008.png,174,105,174
austin19_obj0009.png,5,3,5
austin19_obj0010.png,144,59,144
austin19_obj0011.png,126,53,126
austin19_obj0012.png,11,3,11
austin19_obj0013.png,88,63,88
austin19_obj0014.png,107,73,107
austin19_obj0015.png,22,17,22
austin19_obj0016.png,137,37,137
austin19_obj0017.png,621,424,621
austin19_obj0018.png,23,20,23
austin19_obj0019.png,106,77,106
austin19_obj0020.png,42,15,42
austin19_obj0021.png,124,54,124
austin19_obj0022.png,95,82,95
austin19_obj0023.png,39,14,39
austin19_obj0024.png,81,25,81
austin19_obj0025.png,107,62,107
austin19_obj0026.png,22,21,22
austin19_obj0027.png,89,88,89
austin19_obj0028.png,84,81,84
austin19_obj0029.png,82,75,82
austin19_obj0030.png,72,54,72
austin19_obj0031.png,95,98,98
austin19_obj0032.png,21,18,21
austin19_obj0033.png,54,66,66
austin19_obj0034.png,21,22,22
austin19_obj0035.png,96,125,125
austin19_obj0036.png,107,101,107
austin19_obj0037.png,105,147,147
austin19_obj0038.png,147,132,147
austin19_obj0039.png,131,196,196
austin19_obj0040.png,76,88,88
austin19_obj0041.png,129,108,129
austin19_obj0042.png,141,119,141
austin19_obj0043.png,83,88,88
austin19_obj0044.png,113,154,154
austin19_obj0045.png,105,106,106
austin19_obj0046.png,165,137,165
austin19_obj0047.png,130,144,144
austin19_obj0048.png,88,100,100
austin19_obj0049.png,94,90,94
austin19_obj0050.png,84,90,90
austin19_obj0051.png,106,101,106
austin19_obj0052.png,89,112,112
austin19_obj0053.png,16,17,17
austin19_obj0054.png,124,81,124
austin19_obj0055.png,65,72,72
austin19_obj0056.png,93,102,102
austin19_obj0057.png,114,154,154
austin19_obj0058.png,114,112,114
austin19_obj0059.png,84,89,89
austin19_obj0060.png,105,100,105
austin19_obj0061.png,100,105,105
austin19_obj0062.png,113,155,155
austin19_obj0063.png,96,90,96
austin19_obj0064.png,136,118,136
austin19_obj0065.png,119,90,119
austin19_obj0066.png,87,90,90
austin19_obj0067.png,28,28,28
austin19_obj0068.png,24,24,24
austin19_obj0069.png,108,102,108
austin19_obj0070.png,107,101,107
austin19_obj0071.png,118,126,126
austin19_obj0072.png,88,81,88
austin19_obj0073.png,90,99,99
austin19_obj0074.png,130,144,144
austin19_obj0075.png,124,81,124
austin19_obj0076.png,95,101,101
austin19_obj0077.png,93,90,93
austin19_obj0078.png,104,208,208
austin19_obj0079.png,83,90,90
austin19_obj0080.png,162,244,244
austin19_obj0081.png,107,102,107
austin19_obj0082.png,141,96,141
austin19_obj0083.png,132,147,147
austin19_obj0084.png,102,89,102
austin19_obj0085.png,84,89,89
austin19_obj0086.png,131,107,131
austin19_obj0087.png,129,143,143
austin19_obj0088.png,102,108,108
austin19_obj0089.png,161,216,216
austin19_obj0090.png,123,108,123
austin19_obj0091.png,127,174,174
austin19_obj0092.png,107,102,107
austin19_obj0093.png,111,89,111
austin19_obj0094.png,119,120,120
austin19_obj0095.png,90,108,108
austin19_obj0096.png,94,94,94
austin19_obj0097.png,82,76,82
austin19_obj0098.png,83,88,88
austin19_obj0099.png,125,143,143
austin19_obj0100.png,149,118,149
austin19_obj0101.png,615,598,615
austin19_obj0102.png,107,102,107
austin19_obj0103.png,220,168,220
austin19_obj0104.png,129,105,129
austin19_obj0105.png,113,154,154
austin19_obj0106.png,88,112,112
austin19_obj0107.png,30,30,30
austin19_obj0108.png,124,108,124
austin19_obj0109.png,107,102,107
austin19_obj0110.png,88,129,129
austin19_obj0111.png,156,239,239
austin19_obj0112.png,101,106,106
austin19_obj0113.png,129,147,147
austin19_obj0114.png,112,119,119
austin19_obj0115.png,95,99,99
austin19_obj0116.png,93,84,93
austin19_obj0117.png,81,75,81
austin19_obj0118.png,113,155,155
austin19_obj0119.png,138,120,138
austin19_obj0120.png,66,51,66
austin19_obj0121.png,57,47,57
austin19_obj0122.png,35,35,35
austin19_obj0123.png,126,147,147
austin19_obj0124.png,113,155,155
austin19_obj0125.png,113,87,113
austin19_obj0126.png,114,112,114
austin19_obj0127.png,84,96,96
austin19_obj0128.png,209,160,209
austin19_obj0129.png,41,39,41
austin19_obj0130.png,94,99,99
austin19_obj0131.png,101,89,101
austin19_obj0132.png,132,177,177
austin19_obj0133.png,107,135,135
austin19_obj0134.png,129,130,130
austin19_obj0135.png,143,111,143
austin19_obj0136.png,96,95,96
austin19_obj0137.png,125,82,125
austin19_obj0138.png,210,160,210
austin19_obj0139.png,24,24,24
austin19_obj0140.png,153,131,153
austin19_obj0141.png,18,18,18
austin19_obj0142.png,129,114,129
austin19_obj0143.png,119,114,119
austin19_obj0144.png,123,105,123
austin19_obj0145.png,95,106,106
austin19_obj0146.png,81,96,96
austin19_obj0147.png,130,87,130
austin19_obj0148.png,93,118,118
austin19_obj0149.png,49,137,137
austin19_obj0150.png,120,82,120
austin19_obj0151.png,29,35,35
austin19_obj0152.png,144,123,144
austin19_obj0153.png,142,114,142
austin19_obj0154.png,114,263,263
austin19_obj0155.png,42,45,45
austin19_obj0156.png,161,208,208
austin19_obj0157.png,84,106,106
austin19_obj0158.png,16,12,16
austin19_obj0159.png,21,22,22
austin19_obj0160.png,22,21,22
austin19_obj0161.png,83,87,87
austin19_obj0162.png,90,87,90
austin19_obj0163.png,156,111,156
austin19_obj0164.png,113,154,154
austin19_obj0165.png,22,22,22
austin19_obj0166.png,100,118,118
austin19_obj0167.png,87,107,107
austin19_obj0168.png,166,221,221
austin19_obj0169.png,81,99,99
austin19_obj0170.png,76,69,76
austin19_obj0171.png,113,154,154
austin19_obj0172.png,112,99,112
austin19_obj0173.png,78,75,78
austin19_obj0174.png,123,106,123
austin19_obj0175.png,98,136,136
austin19_obj0176.png,21,24,24
austin19_obj0177.png,120,108,120
austin19_obj0178.png,87,59,87
austin19_obj0179.png,124,105,124
austin19_obj0180.png,70,57,70
austin19_obj0181.png,12,60,60
austin19_obj0182.png,70,77,77
austin19_obj0183.png,118,99,118
austin19_obj0184.png,113,155,155
austin19_obj0185.png,107,88,107
austin19_obj0186.png,17,22,22
austin19_obj0187.png,117,131,131
austin19_obj0188.png,383,538,538
austin19_obj0189.png,166,221,221
austin19_obj0190.png,168,120,168
austin19_obj0191.png,81,100,100
austin19_obj0192.png,113,155,155
austin19_obj0193.png,102,99,102
austin19_obj0194.png,214,84,214
austin19_obj0195.png,34,33,34
austin19_obj0196.png,94,93,94
austin19_obj0197.png,87,129,129
austin19_obj0198.png,94,94,94
austin19_obj0199.png,114,118,118
austin19_obj0200.png,123,117,123
austin19_obj0201.png,132,178,178
austin19_obj0202.png,143,102,143
austin19_obj0203.png,166,220,220
austin19_obj0204.png,21,18,21
austin19_obj0205.png,131,118,131
austin19_obj0206.png,18,17,18
austin19_obj0207.png,153,114,153
austin19_obj0208.png,22,22,22
austin19_obj0209.png,209,118,209
austin19_obj0210.png,114,125,125
austin19_obj0211.png,120,160,160
austin19_obj0212.png,192,256,256
austin19_obj0213.png,131,173,173
austin19_obj0214.png,72,100,100
austin19_obj0215.png,29,30,30
austin19_obj0216.png,149,126,149
austin19_obj0217.png,83,54,83
austin19_obj0218.png,131,177,177
austin19_obj0219.png,100,114,114
austin19_obj0220.png,191,149,191
austin19_obj0221.png,100,30,100
austin19_obj0222.png,100,142,142
austin19_obj0223.png,114,125,125
austin19_obj0224.png,87,83,87
austin19_obj0225.png,138,114,138
austin19_obj0226.png,78,64,78
austin19_obj0227.png,106,125,125
austin19_obj0228.png,147,156,156
austin19_obj0229.png,149,191,191
austin19_obj0230.png,82,76,82
austin19_obj0231.png,100,135,135
austin19_obj0232.png,166,221,221
austin19_obj0233.png,111,153,153
austin19_obj0234.png,220,87,220
austin19_obj0235.png,126,117,126
austin19_obj0236.png,120,120,120
austin19_obj0237.png,240,84,240
austin19_obj0238.png,112,89,112
austin19_obj0239.png,124,111,124
austin19_obj0240.png,21,17,21
austin19_obj0241.png,118,131,131
austin19_obj0242.png,111,136,136
austin19_obj0243.png,18,15,18
austin19_obj0244.png,24,24,24
austin19_obj0245.png,95,95,95
austin19_obj0246.png,221,168,221
austin19_obj0247.png,131,93,131
austin19_obj0248.png,244,88,244
austin19_obj0249.png,171,227,227
austin19_obj0250.png,154,198,198
austin19_obj0251.png,346,76,346
austin19_obj0252.png,107,120,120
austin19_obj0253.png,130,113,130
austin19_obj0254.png,102,99,102
austin19_obj0255.png,90,111,111
austin19_obj0256.png,120,131,131
austin19_obj0257.png,208,411,411
austin19_obj0258.png,107,119,119
austin19_obj0259.png,117,143,143
austin19_obj0260.png,125,105,125
austin19_obj0261.png,27,23,27
austin19_obj0262.png,144,93,144
austin19_obj0263.png,221,167,221
austin19_obj0264.png,23,18,23
austin19_obj0265.png,28,27,28
austin19_obj0266.png,161,209,209
austin19_obj0267.png,24,24,24
austin19_obj0268.png,117,159,159
austin19_obj0269.png,82,99,99
austin19_obj0270.png,113,78,113
austin19_obj0271.png,83,78,83
austin19_obj0272.png,105,89,105
austin19_obj0273.png,137,107,137
austin19_obj0274.png,76,82,82
austin19_obj0275.png,65,60,65
austin19_obj0276.png,29,52,52
austin19_obj0277.png,340,77,340
austin19_obj0278.png,303,84,303
austin19_obj0279.png,245,89,245
austin19_obj0280.png,30,30,30
austin19_obj0281.png,144,81,144
austin19_obj0282.png,154,197,197
austin19_obj0283.png,190,124,190
austin19_obj0284.png,27,83,83
austin19_obj0285.png,149,95,149
austin19_obj0286.png,89,81,89
austin19_obj0287.png,76,113,113
austin19_obj0288.png,77,114,114
austin19_obj0289.png,49,65,65
austin19_obj0290.png,130,114,130
austin19_obj0291.png,78,101,101
